"Gene"	"C_0_vs_1_pval"	"C_0_vs_1_logFC"	"C_0_vs_1_pct1"	"C_0_vs_1_pct2"	"C_0_vs_1_adjpval"
"Psip1"	2.7466840501531e-08	-0.448716998527089	0.114	0.157	0.000345642720871266
"Gch1"	2.78634244395083e-08	-0.261366244104006	0.374	0.431	0.000350633333146773
"Gm28809"	2.82316851623049e-08	-0.98171931302202	0.022	0.044	0.000355267526082445
"Htra2"	2.83726777861344e-08	-0.302666057606693	0.23	0.285	0.000357041777260715
"Rffl"	2.86894433922809e-08	-0.598039982193214	0.07	0.106	0.000361027955648463
"Polr2h"	2.87641521586032e-08	0.467058686398741	0.168	0.125	0.000361968090763862
"B3gat3"	2.88865061160158e-08	-0.40622018721188	0.157	0.202	0.000363507792963943
"Pole"	3.02817452553263e-08	2.72684662121188	0.011	0.001	0.000381065482293026
"Rnf181"	3.02841326913561e-08	-0.288387892483279	0.265	0.322	0.000381095525788025
"Kctd10"	3.08498447897434e-08	-0.436768966151422	0.124	0.168	0.000388214446834131
"Krit1"	3.10289984917077e-08	-0.486535184180041	0.107	0.149	0.00039046891701965
"Rnf167"	3.1916044835789e-08	-0.362846617350858	0.163	0.211	0.000401631508213568
"Lix1l"	3.24100931143799e-08	1.14306231168801	0.036	0.017	0.000407848611751357
