"Gene"	"C_0_vs_1_pval"	"C_0_vs_1_logFC"	"C_0_vs_1_pct1"	"C_0_vs_1_pct2"	"C_0_vs_1_adjpval"
"Flna"	1.25485292172541e-105	0.522390478414379	0.71	0.49	1.57910691669925e-101
"Dpep2"	1.25637466079002e-105	0.525926312058089	0.603	0.367	1.58102187313816e-101
"Spp1"	4.92943404205683e-105	1.34131143832199	0.751	0.508	6.20319979852431e-101
"Bin1"	5.15102875172103e-105	0.465093305595062	0.546	0.304	6.48205458116574e-101
"Mirt2"	1.02840192196002e-104	-0.413642908543324	0.063	0.245	1.29414097859449e-100
"Vapa"	5.26504053043421e-104	-0.42037838517496	0.777	0.874	6.6255270034984e-100
"Rgs10"	2.44538046102384e-103	0.539936063085032	0.698	0.49	3.0772667721524e-99
"Lmna"	4.2704343410645e-103	0.569875327044726	0.798	0.61	5.37391457479557e-99
"Smox"	3.70087074389144e-102	-0.623607072227812	0.628	0.787	4.65717574411299e-98
"Gm10260"	9.02579907941842e-102	0.399638094058917	0.983	0.879	1.13580655615401e-97
"Uqcr11"	4.17171967885535e-101	0.431451375296116	0.853	0.691	5.24969204387157e-97
"Lyl1"	8.69906323345487e-101	0.37863762275964	0.395	0.158	1.09469011729796e-96
"Cxcl14"	6.08020569566354e-100	0.650977113638324	0.464	0.229	7.651330847423e-96
"Ssbp4"	5.38038486852366e-99	0.375005530514311	0.463	0.217	6.77067631855017e-95
"Htra3"	7.53730640814471e-99	0.331909839928796	0.224	0.046	9.48494638400931e-95
"Folr2"	2.84251511541436e-97	0.551986534553884	0.424	0.192	3.57702102123743e-93
"Ctsc"	5.7384316077783e-96	0.489221681118416	0.99	0.905	7.22124233522822e-92
"Cd72"	6.29259903420425e-96	0.54688565244384	0.425	0.189	7.91860662464262e-92
"Ctsb"	7.49539564907853e-96	-0.60020225878398	0.996	0.997	9.43220588480042e-92
"Gpr137b"	1.67819799958618e-94	-0.580650725772565	0.463	0.559	2.11184436267925e-90
