"Gene"	"C_0_vs_1_pval"	"C_0_vs_1_logFC"	"C_0_vs_1_pct1"	"C_0_vs_1_pct2"	"C_0_vs_1_adjpval"
"Hsp90ab1"	8.80198740264004e-81	0.382878783890621	0.995	0.964	1.10764209474822e-76
"Atp6v1a"	9.87831857800304e-81	-0.438000509485242	0.486	0.641	1.2430876098559e-76
"Stk17b"	1.30882148625687e-80	0.418980253617637	0.593	0.381	1.64702095830564e-76
"Dusp4"	1.45476667361602e-80	-0.466846104773999	0.113	0.276	1.83067838207841e-76
"Camk1"	1.50330764625067e-80	0.427743422257516	0.509	0.297	1.89176234204185e-76
"Tnfrsf9"	6.48765818744093e-80	-0.871501862102165	0.082	0.241	8.16406906307566e-76
"Gla"	7.25504488314242e-80	-0.375663049714602	0.205	0.396	9.12974848094642e-76
"Ssr4"	8.9800357549701e-80	0.370642613151324	0.901	0.773	1.13004769940544e-75
"Olfml3"	1.03565305120724e-79	0.305484125008686	0.229	0.064	1.30326579963919e-75
"Dock2"	1.25558202087274e-79	0.346587063014209	0.424	0.21	1.58002441506625e-75
"Ppp1r18"	1.35914206178154e-79	0.369478162991651	0.851	0.689	1.71034437054589e-75
"Wnk1"	1.37980153471682e-79	0.41021677788072	0.513	0.3	1.73634225128765e-75
"Nfic"	3.89339077384377e-79	0.344839085863621	0.392	0.182	4.899442949805e-75
"Tnfrsf11a"	4.59482861664006e-79	0.284524024893313	0.278	0.096	5.78213233117985e-75
"Atp5g3"	7.33898459276453e-79	0.350579467516236	0.977	0.943	9.23537821153488e-75
"Samd8"	1.57015985639631e-78	-0.361578863998149	0.145	0.318	1.97588916328912e-74
"Sigmar1"	3.31008823841402e-78	0.333933952504078	0.402	0.193	4.1654150392202e-74
"Mmp8"	4.43062690955416e-78	-0.688189434206814	0.07	0.228	5.57550090298296e-74
"Naa50"	9.265551477115e-78	-0.418193518891996	0.326	0.441	1.16597699788015e-73
"Ap1b1"	2.11513039297331e-77	0.326207584464943	0.33	0.136	2.66168008651761e-73
"Tgif1"	2.99441958339282e-77	-0.442498605414562	0.425	0.611	3.76817760374153e-73
"Cox4i1"	5.63798703152199e-77	0.294197847699566	0.995	0.97	7.09484288046727e-73
"Wfdc17"	9.60785087125078e-77	-1.08950897196545	0.602	0.787	1.2090519536382e-72
"Sla"	2.41372373136282e-76	0.347072594103852	0.446	0.229	3.03742994354697e-72
"Basp1"	4.38888824294523e-76	-0.50061196372569	0.701	0.793	5.52297696492228e-72
"Rpl36al"	6.3121978420971e-76	0.328450123344453	0.985	0.935	7.94326976449499e-72
"Pou2f2"	8.77344518716891e-76	0.286788977041608	0.231	0.069	1.10405034235334e-71
